,客户编号,客户公司名称,客户公司编号,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,第一选择基金,第二选择基金,第三选择基金,第四选择基金
25,C0026,公司3,90601,7,55,32.6967759,141,0.208802253,1,2,68,24.04371817,55,0.772065933,7,10,12.40355477,6.684146703,28,999999999,69,88.82775882,5,10.78036593,,64,64,14.84615477,0,87.48260157,3.874208529,53.32731045,4,1,51,19.53646282,1,-999999999,5,10,6,85,49.49199187,  ,  ,  ,  
26,C0027,公司19,3644281,9,24,33.18797667,137,0.778202195,1,8,103,9.426852248,15,0.839655893,6,1,5.392470705,26.71964689,37,8.525467594,52,4.197255214,14,18.56512285,,47,63,9.27427859,0,4.377178833,16.94629244,61.41800018,5,1,3,7.299076732,1,11,4,7,58,4,13.78256094,  ,  ,  ,  
27,C0028,公司13,1705636,5,55,33.85525481,105,0.516996591,1,13,162,29.86270288,48,0.976376184,7,11,19.27527605,25.19468543,33,22.10504091,39,79.46268439,17,14.77790361,30.25472756,14,27,1.153723749,,89.816549,5.009684434,6.298281097,5,1,65,14.86340594,1,11,7,11,2,68,9.452161458,J0087,  ,  ,  
28,C0029,公司13,1705636,8,26,23.72214997,167,0.569574836,1,6,196,9.163551421,13,0.618601832,5,30,2.127191858,24.38028697,94,20.53474196,75,9.392854168,10,9.934840661,,54,35,2.816648147,0,80.8044326,18.45473021,51.9659886,,1,40,12.85838073,1,7,2,4,12,37,24.74803838,  ,  ,  ,  
29,C0030,公司19,3644281,6,20,5.720183692,120,0.490909064,1,18,7,26.35757238,19,0.800379042,5,31,13.13891826,,64,24.57443508,16,14.93559056,12,9.076194255,,66,65,9.532292437,0,90.89403369,14.22381712,43.49305935,3,1,59,4.189091434,1,7,7,7,43,43,77.82897753,J0069,J0092,  ,  
30,C0031,公司7,494209,9,38,14.59315757,99,0.740740427,1,12,99,0.790239305,45,0.150696771,8,35,14.49704522,7.328166316,44,,50,45.99306935,9,0.622679908,,35,34,7.076216826,0,18.3064511,1.877454364,37.69637951,1,1,63,19.87233569,1,10,7,10,46,87,91.93476283,  ,  ,  ,  
31,C0032,公司11,1221025,2,50,7.412523502,44,0.717213824,1,1,97,27.10209264,4,,9,26,4.990298038,13.48306016,83,4.148943402,55,67.66456514,17,6.363506577,,39,41,3.193436627,0,45.44531139,7.079487779,42.60377161,1,1,61,10.8436673,1,10,6,12,33,96,43.18880788,  ,  ,  ,  
32,C0033,公司8,646416,7,46,2.282019482,64,0.129893661,1,1,63,30.40127358,65,0.176579271,2,27,12.80018121,33.91973996,16,27.19801775,16,47.84457665,15,11.67681558,,80,7,16.9074888,0,68.99316566,4.725557866,73.81339595,4,1,52,16.5824112,,10,7,1,59,80,55.86044555,  ,  ,  ,  
33,C0034,公司9,817216,4,16,8.43728967,61,0.102462734,1,2,144,30.07726664,57,0.988597178,7,7,5.120515722,13.59181709,80,32.69357829,41,38.49341245,9,18.96111271,,7,68,5.515152179,0,79.10610868,2.566230508,65.87595603,3,1,80,17.57881571,1,5,4,9,3,1,88.61883479,J0124,J0108,  ,  
34,C0035,公司15,2271049,11,68,27.18669712,185,0.447818317,1,8,113,26.74450251,18,0.015444584,4,46,3.799003099,8.587138259,17,10.58951603,83,20.45608962,4,19.87215787,,16,61,8.27017425,0,22.36215636,6.536303443,34.88435059,1,1,23,16.7165384,1,10,1,9,57,16,82.74746848,  ,  ,  ,  
35,C0036,公司18,3272481,8,16,31.36580174,156,0.379010332,1,15,52,21.06837754,16,0.434318754,4,46,16.63854396,21.30089029,17,22.88824284,39,1.932689015,16,5.280705921,,49,38,7.997809798,0,60.15064742,18.86685278,85.51666968,2,1,67,18.46238956,1,6,1,2,43,79,51.0898687,J0090,  ,  ,  
36,C0037,公司1,10000,8,30,19.88170733,48,0.721514807,1,8,157,9.282693434,6,0.797403765,1,11,7.226136821,23.01082415,36,22.0599954,81,2.90324909,16,9.607939291,,2,66,19.67545978,0,80.08701128,15.77463829,49.52456261,2,1,34,12.24798822,1,3,7,4,13,9,61.37516698,  ,  ,  ,  
37,C0038,公司18,3272481,2,31,14.2693725,46,0.430267466,1,18,157,3.003069929,38,0.24834039,12,62,9.547906691,3.034962546,96,25.77844079,19,55.71795588,9,5.284866278,,65,4,17.86687018,0,9.981871363,1.606487866,66.73725332,3,1,48,2.397392325,1,11,5,1,96,54,63.43661164,J0129,  ,  ,  
38,C0039,公司13,1705636,12,49,18.55831427,166,0.739239621,1,1,122,2.846253564,42,0.892224443,10,57,14.8977077,22.45452002,39,25.85510136,57,44.27634627,15,7.099544374,,85,53,3.725698594,0,90.99373355,14.63778685,9.432150242,1,1,74,9.053798288,1,12,6,2,32,36,29.26574529,J0143,  ,  ,  
39,C0040,公司1,10000,2,40,23.76222431,75,0.962763492,1,16,101,22.0714595,6,0.746397933,4,7,9.651905703,12.43438856,999999999,1.131116573,28,19.87655738,16,6.930830385,,95,41,10.19276518,0,76.60727058,10.98917595,2.140784387,1,1,39,9.752987908,1,11,3,2,1,85,32.41129132,J0150,  ,  ,  
40,C0041,公司2,40401,1,57,30.26852826,45,0.371036251,1,8,38,8.665429657,67,0.569339723,4,52,1.275916622,0.338422653,76,0.368671235,85,80.90448005,4,14.00549432,,50,54,17.7731138,0,37.82934766,11.7770145,34.34879313,1,1,11,5.453599024,1,11,5,6,61,26,59.08555736,  ,  ,  ,  
41,C0042,公司8,646416,3,24,11.53190217,28,0.680716581,1,18,32,3.052471491,14,0.019799208,12,23,17.77585475,33.95503553,29,6.048226136,61,31.14905096,1,2.750680764,,65,3,1.558604881,0,90.33941296,4.156648692,77.58180647,3,1,79,16.64717093,1,11,4,12,44,15,59.04769841,J0077,  ,  ,  
42,C0043,公司6,363609,2,8,17.31799322,33,0.470784254,1,1,,13.0867629,23,0.002599991,6,67,12.07371067,31.93499163,62,25.11069663,72,72.21592057,14,16.90362662,,39,51,15.54891857,0,64.94670297,17.76689437,10.20689153,1,1,50,14.76092314,1,8,4,4,47,41,27.49249742,J0048,J0159,J0174,  
43,C0044,公司17,2917264,7,66,0.051673934,49,0.483608607,1,8,27,28.93363747,2,0.954822463,1,22,0.07406526,6.959241425,35,12.67633129,39,21.01451845,7,0.781506381,,78,60,,0,56.13102397,18.19639752,75.32793682,5,1,46,0.065674181,1,10,3,9,78,72,85.17514571,  ,  ,  ,  
44,C0045,公司12,1454436,4,35,3.208315578,199,0.466417099,1,8,139,20.62672155,42,0.910318233,8,44,7.488124841,1.258019241,18,5.188857176,67,56.02577262,9,6.104116298,,23,60,12.29715441,0,85.98789585,,4.153655587,2,1,14,18.78562674,1,11,3,11,94,50,84.87468577,J0186,J0111,  ,  
45,C0046,公司10,1010025,12,60,0.056471405,44,0.71824391,1,17,139,14.38272157,28,0.073748858,3,3,5.512180899,1.557607306,68,15.26808618,18,40.77367629,9,13.69188917,,25,53,14.03040734,0,31.75508496,5.012580824,55.45705199,3,1,57,0.552244911,1,5,3,11,,65,29.20427957,J0179,  ,  ,  
46,C0047,公司10,1010025,5,4,15.3061443,43,0.833959094,1,12,152,28.52907908,2,0.483367236,3,29,11.93150671,11.21558863,12,23.07443388,4,49.17829936,10,7.399992258,,30,21,5.599051743,0,72.33145969,,39.00912437,4,1,63,16.08854078,1,12,4,6,74,21,80.71338001,  ,  ,  ,  
47,C0048,公司3,90601,12,24,8.952217877,98,0.372311069,1,3,147,0.269634704,63,0.047584759,11,64,15.01686871,30.74152929,29,25.09109993,39,19.20375436,4,16.67070758,,84,33,15.29185525,0,2.435183776,3.595639438,71.75428319,1,1,47,14.42527822,1,2,3,1,79,90,42.90605346,J0108,  ,  ,  
48,C0049,公司7,494209,5,16,24.86468087,112,0.947002861,1,16,32,31.3566406,23,0.523332014,9,67,7.368808596,0.352193126,16,10.83935764,76,72.54049069,12,18.24336617,,59,49,18.71284375,0,10.65787077,14.67945182,83.28839971,5,1,55,4.239168455,1,2,7,9,86,2,63.12313666,  ,  ,  ,  
49,C0050,公司3,90601,5,53,8.370837423,30,0.544629751,1,15,19,28.41031313,52,0.664564941,11,70,11.75433121,27.60347489,53,17.54377376,25,20.89412093,18,10.63263798,,6,16,18.18510041,0,63.80099459,1.68428491,33.22379631,1,1,13,14.56622166,1,7,2,2,89,48,61.75206365,  ,  ,  ,  
50,C0051,公司16,2585664,9,60,33.37744395,105,0.130532511,1,9,28,20.64441662,38,0.215610796,5,35,15.87045279,0.17684661,40,8.08389068,79,12.0259859,-999999999,6.69866918,,81,14,5.704518334,0,44.48137246,9.922465753,52.46928785,2,1,86,8.682137008,1,12,1,8,66,29,67.4867177,J0131,  ,  ,  
51,C0052,公司4,161604,11,18,5.058304491,33,0.501755018,1,3,139,33.74121103,6,0.521955932,1,66,3.021312147,10.86419108,44,25.94789357,8,39.32435902,1,16.06763435,,81,15,1.927472628,0,65.8655796,6.141711349,58.72882801,1,1,37,7.718746539,1,4,1,8,45,5,50.16684897,J0192,  ,  ,  
52,C0053,公司8,646416,2,30,23.96296853,123,0.921985097,1,16,156,2.700829333,4,0.221110054,5,71,11.17747201,31.63532122,92,10.66520926,92,90.57287078,13,15.66454,,82,44,0.29032308,0,22.37870847,2.745592615,31.45723232,4,1,96,8.516040399,1,2,2,11,47,73,10.62991108,  ,  ,  ,  
53,C0054,公司16,2585664,7,17,6.592687285,10,0.138452837,1,15,92,14.97377754,40,0.913938443,9,29,5.063973213,0.020479976,56,29.74020583,39,81.777366,7,5.342742819,,34,31,15.31582813,0,61.4035422,8.644503783,46.57155304,1,1,71,14.63965764,1,10,5,3,59,92,28.05796277,  ,  ,  ,  
54,C0055,公司15,2271049,9,61,26.21193024,2,0.933340446,1,10,16,13.31930739,63,0.082997422,2,51,9.67376474,26.46880543,50,19.20142819,62,42.97224294,2,16.06667231,,66,31,13.1333662,0,76.2880593,14.51752598,31.04701498,1,1,56,13.46056302,1,5,7,6,78,37,30.49616319,  ,  ,  ,  
55,C0056,公司14,1979649,7,13,19.55981792,21,0.381174385,1,5,91,11.73951241,29,0.168956049,11,37,9.140879792,24.12351711,26,5.296052322,62,59.10632446,11,2.556694478,,23,58,12.24067159,0,28.18255768,0.572407815,19.56714977,1,1,40,17.94776642,1,8,3,12,78,95,83.72417185,  ,  ,  ,  
56,C0057,公司3,90601,9,37,0.555722798,176,0.469237176,1,9,139,5.788642221,,0.946099256,12,27,2.457724318,32.78778093,91,26.29200368,21,32.81862728,15,7.957090923,,35,21,0.59689317,0,14.72255158,17.07339185,2.586944311,2,1,8,7.961656268,1,1,1,9,16,64,50.91595788,J0022,J0141,J0051,  
57,C0058,公司18,3272481,2,38,28.81578505,164,0.857520859,1,3,142,16.77547381,36,0.197678367,1,57,12.58279137,0.507113798,39,7.121139726,20,55.54983021,7,12.84549281,,96,34,19.80255223,0,52.66340466,15.14587498,38.55105175,2,1,45,17.39813008,1,1,6,2,12,40,53.06948627,  ,  ,  ,  
58,C0059,公司13,1705636,3,60,8.537492141,,0.72394169,1,18,112,33.50187062,16,0.540646786,1,17,15.49914522,32.91038215,19,16.34847596,70,43.31242722,8,15.35864749,,2,49,5.865284687,0,75.29927469,11.25081115,5.963908686,3,1,46,11.23872173,1,1,4,4,44,61,16.62704239,J0081,  ,  ,  
59,C0060,公司1,10000,2,65,5.552807462,48,0.470611395,1,17,74,32.44488078,4,0.319388642,8,16,2.501299028,9.472957425,21,4.399687637,56,91.98916987,10,17.06732539,,60,34,17.42063363,0,76.24127731,14.01932826,69.94719656,4,1,84,14.71270567,1,9,6,9,4,82,87.84150423,  ,  ,  ,  
60,C0061,公司11,1221025,4,1,27.29912566,154,0.618532979,1,18,188,13.86483137,14,0.858284319,12,61,8.956404173,999999999,40,3.229205604,2,21.95010622,13,16.87866192,,45,11,9.486722217,0,34.34048286,9.316528552,53.72181368,1,1,52,8.619876314,1,6,7,4,29,11,20.00794928,  ,  ,  ,  
61,C0062,公司9,817216,11,34,27.90726986,159,0.205462025,1,5,186,20.38011994,30,0.181258508,1,14,14.56510346,24.94394168,55,25.7375656,93,11.37674458,,1.75198053,,73,18,7.267071262,0,59.03266134,16.40347897,60.4155831,1,1,64,16.5104834,1,12,2,6,67,4,0.690895284,  ,  ,  ,  
62,C0063,公司16,2585664,10,31,14.14671968,127,0.781105664,1,15,12,10.26759856,62,0.131839096,7,63,0.446796849,4.913421769,76,28.57678426,80,20.49183501,11,13.90020596,,92,17,14.47093814,0,15.81226892,3.693149877,60.57574938,1,1,45,6.440892694,1,10,3,11,40,75,22.25054381,  ,  ,  ,  
63,C0064,公司7,494209,1,21,23.75974339,101,0.623906279,1,1,140,10.21508755,10,0.703834118,12,4,5.070840965,28.43039505,38,17.12736617,34,2.002440927,15,4.385509545,,12,46,7.889395971,0,90.35087687,0.998700686,58.77115621,1,1,58,2.178331989,1,2,1,3,32,89,30.29367653,  ,  ,  ,  
64,C0065,公司2,40401,2,37,23.88129863,71,0.698777259,1,13,194,6.217688451,55,0.813114805,1,19,14.51633612,4.190011553,80,21.17301705,35,42.01354898,8,18.24300284,,89,8,3.609976559,0,23.12027249,0.24552069,65.22366125,4,1,53,4.810028598,1,7,2,10,80,40,46.45630119,J0045,J0109,J0063,J0099
65,C0066,公司9,817216,5,4,20.62044875,2,0.092657895,1,10,166,5.528932769,19,0.121161854,10,42,12.18470674,13.05323135,64,20.46270275,12,90.57842725,5,3.202683843,,60,11,18.3634814,0,19.68564443,13.93916559,82.49817004,,1,21,14.3116926,1,2,7,6,73,83,87.60045883,  ,  ,  ,  
66,C0067,公司15,2271049,12,39,21.77378322,126,0.664894173,1,15,65,29.07413056,51,0.128367768,999999999,30,15.31322737,1.697903921,52,5.075871074,25,68.78942824,15,2.964933963,,92,63,7.716347521,0,32.7008519,11.57823142,27.32568729,5,1,53,13.21598215,1,10,3,4,81,80,51.80152116,  ,  ,  ,  
67,C0068,公司13,1705636,8,68,33.52739266,113,0.029675375,1,3,64,7.378645296,13,0.05333649,4,2,2.056772556,33.57214709,51,20.70099406,74,91.85443691,15,11.47095558,,49,11,16.91653492,0,83.64049361,14.05510518,30.30311484,5,1,46,8.849917824,1,2,2,6,89,1,20.24445958,J0097,J0052,  ,  
68,C0069,公司9,817216,10,4,8.797064009,91,0.687777956,1,17,141,31.04629271,3,0.877706317,7,26,4.365010552,1.304993894,91,30.48634511,4,83.9967687,10,13.83155221,,28,55,14.31268469,0,28.96730605,6.044444702,77.61846932,3,1,3,1.942698637,1,8,1,12,59,52,33.75162665,J0088,  ,  ,  
69,C0070,公司10,1010025,12,21,33.08924038,47,0.933609096,1,8,138,24.4403436,43,0.84466054,7,44,3.183088992,25.57208202,10,24.62809115,16,7.1610823,7,16.19626871,,42,34,0.954420452,0,30.56882245,7.835990744,76.88964972,3,1,59,12.03727972,1,6,5,10,94,19,87.7090301,  ,  ,  ,  
70,C0071,公司3,90601,8,30,27.95345514,84,0.919569343,1,12,21,4.731892109,56,0.430077651,4,43,17.05371105,18.80998,87,1.862642235,15,39.86845633,18,0.191403035,,51,43,4.678859529,0,81.41054874,9.002032863,41.33264301,3,1,89,3.563339875,1,3,3,2,96,28,47.76311065,  ,  ,  ,  
71,C0072,公司1,10000,12,50,12.33034405,30,0.102944079,1,13,1,21.92405905,48,0.961391452,3,53,17.44481664,15.51084059,87,33.68590003,15,85.75993387,10,7.047105508,,94,66,11.43374379,0,67.07149249,11.77774289,27.3653377,5,1,67,19.51998819,1,3,4,9,29,75,85.07283413,J0056,J0009,J0050,  
72,C0073,公司7,494209,9,60,8.503893833,70,0.379721686,1,17,103,10.1475282,17,0.445316331,6,43,14.60100454,19.84592149,45,17.54877505,11,1.417306734,16,18.52103261,,64,18,3.037755898,0,47.93364528,3.249798964,3.258673514,2,1,50,8.631657198,1,10,3,6,38,27,27.66939808,J0116,  ,  ,  
73,C0074,公司19,3644281,9,68,25.31173531,195,0.231081244,1,17,82,2.342329782,60,0.66134042,6,51,4.199635023,23.42133204,53,27.31400481,25,4.084004419,5,11.37726598,,95,5,14.56276786,0,22.37852749,17.22699486,6.574422261,4,1,53,4.683514333,,8,7,3,30,28,9.211361961,  ,  ,  ,  
74,C0075,公司13,1705636,11,1,8.719796723,143,0.951248502,1,17,91,7.244868343,7,0.49390355,9,63,12.39874681,10.97724773,3,16.80180413,89,9.818260413,11,19.95758846,,53,7,4.883540098,0,44.65873405,2.797047145,45.71101581,5,1,64,2.065163066,1,1,2,11,61,70,74.29419333,  ,  ,  ,  
75,C0076,公司19,3644281,9,30,4.295063521,15,0.703994558,1,7,75,26.31294211,57,0.896213486,6,59,0.660054811,32.59635189,37,20.09436383,32,25.85943808,6,17.52850504,,26,61,3.881477128,0,18.71641065,0.622224147,10.75750525,3,1,19,12.63915159,1,12,6,8,69,7,59.2959014,  ,  ,  ,  
76,C0077,公司18,3272481,10,46,15.18817751,36,0.590110468,1,1,14,28.79472108,68,0.303289613,5,59,1.494062649,0.211866295,31,2.671445816,58,35.2980829,3,9.329643375,,17,52,15.6922701,0,68.65255899,12.46107528,78.04943658,1,1,53,3.769129444,1,6,3,10,3,67,76.51074192,  ,  ,  ,  
77,C0078,公司4,161604,3,23,20.07941257,158,0.254699773,1,11,194,28.33092529,43,0.290295702,9,44,10.58311044,9.733590559,33,26.02193609,85,60.16870021,14,0.002078361,7.801648791,43,14,16.2841549,0,61.05344187,18.41493245,20.92799364,4,1,17,9.800841862,1,7,5,9,74,59,81.55424422,J0073,J0138,  ,  
78,C0079,公司3,90601,8,45,8.215118577,165,0.363518384,1,14,96,31.87375531,61,0.019612711,2,52,8.061837372,14.09246416,3,9.128202221,6,6.923981701,5,9.02849465,,95,24,12.2466218,0,10.84013106,3.83484204,38.72125079,1,1,72,2.325217888,1,8,1,11,8,5,13.53571278,  ,  ,  ,  
79,C0080,公司9,817216,2,64,22.80695028,1,,1,16,27,16.91509105,25,0.192779223,4,46,15.48697745,17.63082751,46,13.20266436,87,32.50933508,1,12.65795917,,58,3,17.05793551,0,5.751118574,11.65623386,10.35926662,3,1,15,8.759980766,1,9,3,12,70,70,0.906261676,J0064,  ,  ,  
80,C0081,公司4,161604,6,63,3.152002339,144,0.702234567,1,9,58,5.407888973,6,,2,34,11.98544492,10.20934851,78,0.294724553,54,52.70095022,4,6.022471223,,85,10,11.75573,0,53.43235105,1.282585135,37.38229449,1,1,89,9.933887495,1,11,6,11,6,49,77.90149791,  ,  ,  ,  
81,C0082,公司20,4040100,7,65,24.3067813,135,0.304736135,1,11,39,32.78116263,55,0.542316913,1,28,1.955832686,11.25552533,34,13.51454135,91,,12,10.80440793,,92,,1.474312388,0,68.2629658,1.529476063,79.20863768,5,1,71,3.980336827,1,10,4,3,4,70,11.92722595,  ,  ,  ,  
82,C0083,公司14,1979649,7,60,25.74020339,13,0.350401135,1,9,167,19.23700797,23,0.743207413,4,63,17.0320406,3.375176143,11,26.36303581,31,0.026971006,10,17.85477057,,64,58,2.822277988,0,10.99621729,6.05312286,,1,1,81,14.8579371,1,1,3,2,39,21,59.97999056,  ,  ,  ,  
